Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Alisson,br BRA,GK,32-351,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
Dominik Szoboszlai,hu HUN,"DF,MF",24-328,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,9.0,26.0,12.0,0.25,0.0,0.25,0.25,0.25,0.09,0.05,0.15,0.09,0.15,Matches,Liverpool
Virgil van Dijk,nl NED,DF,34-072,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,8.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Liverpool
Cody Gakpo,nl NED,"FW,MF",26-134,4,4,359.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.4,1.9,18.0,11.0,39.0,0.25,0.5,0.75,0.25,0.75,0.13,0.34,0.47,0.13,0.47,Matches,Liverpool
Mohamed Salah,eg EGY,"FW,MF",33-095,4,4,359.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.1,0.3,0.5,0.9,14.0,12.0,43.0,0.5,0.25,0.75,0.25,0.5,0.28,0.14,0.41,0.08,0.21,Matches,Liverpool
Ibrahima Konaté,fr FRA,DF,26-116,4,4,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.18,0.13,0.18,Matches,Liverpool
Florian Wirtz,de GER,MF,22-138,4,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,11.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.15,0.16,0.31,0.15,0.31,Matches,Liverpool
Hugo Ekitike,fr FRA,FW,23-090,4,4,299.0,3.3,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,0.3,1.7,5.0,7.0,16.0,0.6,0.3,0.9,0.6,0.9,0.44,0.08,0.52,0.44,0.52,Matches,Liverpool
Milos Kerkez,hu HUN,DF,21-315,4,4,276.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,3.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,Liverpool
Ryan Gravenberch,nl NED,MF,23-125,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.4,8.0,16.0,8.0,0.33,0.0,0.33,0.33,0.33,0.06,0.09,0.15,0.06,0.15,Matches,Liverpool
